master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sv2p_001_071,SV2P,001/071,ポケモン,草,アメタマ,C,G,False
sv2p_002_071,SV2P,002/071,ポケモン,草,アメモース,U,G,False
sv2p_003_071,SV2P,003/071,ポケモン,草,ミツハニー,C,G,False
sv2p_004_071,SV2P,004/071,ポケモン,草,ビークイン,U,G,False
sv2p_005_071,SV2P,005/071,ポケモン,草,ユキカブリ,C,G,False
sv2p_006_071,SV2P,006/071,ポケモン,草,ユキノオー,R,G,False
sv2p_007_071,SV2P,007/071,ポケモン,草,アマカジ,C,G,False
sv2p_008_071,SV2P,008/071,ポケモン,草,アママイコ,C,G,False
sv2p_009_071,SV2P,009/071,ポケモン,草,アマージョ,U,G,False
sv2p_010_071,SV2P,010/071,ポケモン,草,アノクサ,C,G,False
sv2p_011_071,SV2P,011/071,ポケモン,草,アノクサ,C,G,False
sv2p_012_071,SV2P,012/071,ポケモン,草,アノホラグサ,U,G,False
sv2p_013_071,SV2P,013/071,ポケモン,草,シガロコ,C,G,False
sv2p_014_071,SV2P,014/071,ポケモン,草,シガロコ,C,G,False
sv2p_015_071,SV2P,015/071,ポケモン,草,チオンジェンex,RR,G,False
sv2p_016_071,SV2P,016/071,ポケモン,水,マリル,C,G,False
sv2p_017_071,SV2P,017/071,ポケモン,水,マリルリ,U,G,False
sv2p_018_071,SV2P,018/071,ポケモン,水,ラブカス,C,G,False
sv2p_019_071,SV2P,019/071,ポケモン,水,コオリッポ,U,G,False
sv2p_020_071,SV2P,020/071,ポケモン,水,アルクジラ,C,G,False
sv2p_021_071,SV2P,021/071,ポケモン,水,アルクジラ,C,G,False
sv2p_022_071,SV2P,022/071,ポケモン,水,ハルクジラ,U,G,False
sv2p_023_071,SV2P,023/071,ポケモン,水,ミガルーサ,R,G,False
sv2p_024_071,SV2P,024/071,ポケモン,水,セビエ,C,G,False
sv2p_025_071,SV2P,025/071,ポケモン,水,セビエ,C,G,False
sv2p_026_071,SV2P,026/071,ポケモン,水,セゴール,C,G,False
sv2p_027_071,SV2P,027/071,ポケモン,水,セグレイブ,R,G,False
sv2p_028_071,SV2P,028/071,ポケモン,水,パオジアンex,RR,G,False
sv2p_029_071,SV2P,029/071,ポケモン,闘,ヤドン,C,G,False
sv2p_030_071,SV2P,030/071,ポケモン,闘,ヤドキングex,RR,G,False
sv2p_031_071,SV2P,031/071,ポケモン,闘,ゴチム,C,G,False
sv2p_032_071,SV2P,032/071,ポケモン,闘,ゴチミル,C,G,False
sv2p_033_071,SV2P,033/071,ポケモン,闘,ゴチルゼル,U,G,False
sv2p_034_071,SV2P,034/071,ポケモン,超,ミミッキュ,R,G,False
sv2p_035_071,SV2P,035/071,ポケモン,闘,ヤバチャ,C,G,False
sv2p_036_071,SV2P,036/071,ポケモン,闘,ポットデス,U,G,False
sv2p_037_071,SV2P,037/071,ポケモン,闘,ベラカス,R,G,False
sv2p_038_071,SV2P,038/071,ポケモン,闘,マンキー,C,G,False
sv2p_039_071,SV2P,039/071,ポケモン,闘,オコリザル,C,G,False
sv2p_040_071,SV2P,040/071,ポケモン,闘,コノヨザルex,RR,G,False
sv2p_041_071,SV2P,041/071,ポケモン,草,ウソッキー,U,G,False
sv2p_042_071,SV2P,042/071,ポケモン,草,キラーメ,C,G,False
sv2p_043_071,SV2P,043/071,ポケモン,草,キラーメ,C,G,False
sv2p_044_071,SV2P,044/071,ポケモン,草,キラフロル,R,G,False
sv2p_045_071,SV2P,045/071,ポケモン,雷,ヤミカラス,C,G,False
sv2p_046_071,SV2P,046/071,ポケモン,雷,ドンカラス,U,G,False
sv2p_047_071,SV2P,047/071,ポケモン,草,オラチフ,C,G,False
sv2p_048_071,SV2P,048/071,ポケモン,草,オラチフ,C,G,False
sv2p_049_071,SV2P,049/071,ポケモン,草,マフィティフ,U,G,False
sv2p_050_071,SV2P,050/071,ポケモン,草,ドーミラー,C,G,False
sv2p_051_071,SV2P,051/071,ポケモン,草,ドータクン,U,G,False
sv2p_052_071,SV2P,052/071,ポケモン,雷,アーマーガア,U,G,False
sv2p_053_071,SV2P,053/071,ポケモン,草,ゾウドウ,C,G,False
sv2p_054_071,SV2P,054/071,ポケモン,草,ダイオウドウex,RR,G,False
sv2p_055_071,SV2P,055/071,ポケモン,草,ミミズズ,R,G,False
sv2p_056_071,SV2P,056/071,ポケモン,闘,ノコッチ,C,G,False
sv2p_057_071,SV2P,057/071,ポケモン,闘,ノココッチ,U,G,False
sv2p_058_071,SV2P,058/071,ポケモン,雷,キャモメ,C,G,False
sv2p_059_071,SV2P,059/071,ポケモン,雷,ペリッパー,U,G,False
sv2p_060_071,SV2P,060/071,ポケモン,闘,ナマケロ,C,G,False
sv2p_061_071,SV2P,061/071,ポケモン,闘,ヤルキモノ,C,G,False
sv2p_062_071,SV2P,062/071,ポケモン,闘,ケッキング,R,G,False
sv2p_063_071,SV2P,063/071,ポケモン,雷,ココガラ,C,G,False
sv2p_064_071,SV2P,064/071,ポケモン,雷,アオガラス,C,G,False
sv2p_065_071,SV2P,065/071,ポケモン,雷,イキリンコex,RR,G,False
sv2p_066_071,SV2P,066/071,トレーナーズ,グッズ,すごいつりざお,U,G,False
sv2p_067_071,SV2P,067/071,トレーナーズ,グッズ,ファイトオレ,U,G,False
sv2p_068_071,SV2P,068/071,トレーナーズ,サポート,グルーシャ,U,G,False
sv2p_069_071,SV2P,069/071,トレーナーズ,サポート,ピーニャ,U,G,False
sv2p_070_071,SV2P,070/071,トレーナーズ,スタジアム,災いの雪山,U,G,False
sv2p_071_071,SV2P,071/071,エネルギー,無,リバーサルエネルギー,U,G,False
sv2p_075_071,SV2P,075/071,ポケモン,水,セビエ,AR,G,False
sv2p_076_071,SV2P,076/071,ポケモン,水,セゴール,AR,G,False
sv2p_077_071,SV2P,077/071,ポケモン,水,セグレイブ,AR,G,False
sv2p_079_071,SV2P,079/071,ポケモン,闘,ベラカス,AR,G,False
sv2p_083_071,SV2P,083/071,ポケモン,闘,ノココッチ,AR,G,False
sv2p_090_071,SV2P,090/071,トレーナーズ,サポート,グルーシャ,SR,G,False
sv2p_092_071,SV2P,092/071,ポケモン,草,チオンジェンex,SAR,G,False
sv2p_093_071,SV2P,093/071,ポケモン,水,パオジアンex,SAR,G,False
sv2p_094_071,SV2P,094/071,ポケモン,雷,イキリンコex,SAR,G,False
