master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sv2a_001_165,SV2a,001/165,ポケモン,草,フシギダネ,C,G,False
sv2a_001_165_m,SV2a,001/165,ポケモン,草,フシギダネ,C,G,True
sv2a_002_165,SV2a,002/165,ポケモン,草,フシギソウ,U,G,False
sv2a_002_165_m,SV2a,002/165,ポケモン,草,フシギソウ,U,G,True
sv2a_003_165,SV2a,003/165,ポケモン,草,フシギバナex,RR,G,False
sv2a_004_165,SV2a,004/165,ポケモン,炎,ヒトカゲ,C,G,False
sv2a_004_165_m,SV2a,004/165,ポケモン,炎,ヒトカゲ,C,G,True
sv2a_005_165_m,SV2a,005/165,ポケモン,炎,リザード,U,G,True
sv2a_005_165,SV2a,005/165,ポケモン,炎,リザード,U,G,False
sv2a_006_165,SV2a,006/165,ポケモン,炎,リザードンex,RR,G,False
sv2a_007_165,SV2a,007/165,ポケモン,水,ゼニガメ,C,G,False
sv2a_007_165_m,SV2a,007/165,ポケモン,水,ゼニガメ,C,G,True
sv2a_008_165,SV2a,008/165,ポケモン,水,カメール,U,G,False
sv2a_008_165_m,SV2a,008/165,ポケモン,水,カメール,U,G,True
sv2a_009_165,SV2a,009/165,ポケモン,水,カメックスex,RR,G,False
sv2a_010_165,SV2a,010/165,ポケモン,草,キャタピー,C,G,False
sv2a_010_165_m,SV2a,010/165,ポケモン,草,キャタピー,C,G,True
sv2a_011_165_m,SV2a,011/165,ポケモン,草,トランセル,C,G,True
sv2a_011_165,SV2a,011/165,ポケモン,草,トランセル,C,G,False
sv2a_012_165,SV2a,012/165,ポケモン,草,バタフリー,U,G,False
sv2a_012_165_m,SV2a,012/165,ポケモン,草,バタフリー,U,G,True
sv2a_013_165,SV2a,013/165,ポケモン,草,ビードル,C,G,False
sv2a_013_165_m,SV2a,013/165,ポケモン,草,ビードル,C,G,True
sv2a_014_165,SV2a,014/165,ポケモン,草,コクーン,C,G,False
sv2a_014_165_m,SV2a,014/165,ポケモン,草,コクーン,C,G,True
sv2a_015_165_m,SV2a,015/165,ポケモン,草,スピアー,R,G,True
sv2a_015_165,SV2a,015/165,ポケモン,草,スピアー,R,G,False
sv2a_016_165_m,SV2a,016/165,ポケモン,雷,ポッポ,C,G,True
sv2a_016_165,SV2a,016/165,ポケモン,雷,ポッポ,C,G,False
sv2a_017_165,SV2a,017/165,ポケモン,雷,ピジョン,C,G,False
sv2a_017_165_m,SV2a,017/165,ポケモン,雷,ピジョン,C,G,True
sv2a_018_165,SV2a,018/165,ポケモン,雷,ピジョット,U,G,False
sv2a_018_165_m,SV2a,018/165,ポケモン,雷,ピジョット,U,G,True
sv2a_019_165,SV2a,019/165,ポケモン,闘,コラッタ,C,G,False
sv2a_019_165_m,SV2a,019/165,ポケモン,闘,コラッタ,C,G,True
sv2a_020_165,SV2a,020/165,ポケモン,闘,ラッタ,U,G,False
sv2a_020_165_m,SV2a,020/165,ポケモン,闘,ラッタ,U,G,True
