master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sval_001_021,SVAL,001/021,ポケモン,炎,ガーディ,-,G,False
sval_002_021,SVAL,002/021,ポケモン,炎,ホゲータ,-,G,False
sval_002_021_m,SVAL,002/021,ポケモン,炎,ホゲータ,-,G,True
sval_003_021,SVAL,003/021,ポケモン,炎,アチゲータ,-,G,False
sval_003_021_m,SVAL,003/021,ポケモン,炎,アチゲータ,-,G,True
sval_004_021,SVAL,004/021,ポケモン,炎,ラウドボーン,-,G,False
sval_004_021_m,SVAL,004/021,ポケモン,炎,ラウドボーン,-,G,True
sval_005_021,SVAL,005/021,ポケモン,雷,メリープ,-,G,False
sval_006_021,SVAL,006/021,ポケモン,雷,モココ,-,G,False
sval_007_021,SVAL,007/021,ポケモン,雷,デンリュウex,-,G,False
sval_008_021,SVAL,008/021,ポケモン,雷,ロトム,-,G,False
sval_009_021,SVAL,009/021,ポケモン,闘,グルトン,-,G,False
sval_010_021,SVAL,010/021,ポケモン,雷,カラミンゴ,-,G,False
sval_011_021,SVAL,011/021,トレーナーズ,グッズ,エネルギー転送,-,G,False
sval_012_021,SVAL,012/021,トレーナーズ,グッズ,ネストボール,-,G,False
sval_013_021,SVAL,013/021,トレーナーズ,グッズ,ハイパーボール,-,G,False
sval_014_021,SVAL,014/021,トレーナーズ,グッズ,ふしぎなアメ,-,G,False
sval_015_021,SVAL,015/021,トレーナーズ,グッズ,ポケギア3.0,-,G,False
sval_016_021,SVAL,016/021,トレーナーズ,グッズ,ポケモンいれかえ,-,G,False
sval_017_021,SVAL,017/021,トレーナーズ,サポート,ジニア,-,G,False
sval_018_021,SVAL,018/021,トレーナーズ,サポート,ジャッジマン,-,G,False
sval_019_021,SVAL,019/021,トレーナーズ,サポート,たんぱんこぞう,-,G,False
sval_020_021,SVAL,020/021,トレーナーズ,サポート,ネモ,-,G,False
sval_021_021,SVAL,021/021,トレーナーズ,サポート,博士の研究（フトゥー博士）,-,G,False
sval_FIR,SVAL,FIR,エネルギー,炎,基本炎エネルギー,-,-,False
sval_LIG,SVAL,LIG,エネルギー,雷,基本雷エネルギー,-,-,False
