master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
svaw_001_023,SVAW,001/023,ポケモン,水,ママンボウ,-,G,False
svaw_002_023,SVAW,002/023,ポケモン,水,クワッス,-,G,False
svaw_002_023_m,SVAW,002/023,ポケモン,水,クワッス,-,G,True
svaw_003_023,SVAW,003/023,ポケモン,水,ウェルカモ,-,G,False
svaw_003_023_m,SVAW,003/023,ポケモン,水,ウェルカモ,-,G,True
svaw_004_023,SVAW,004/023,ポケモン,水,ウェーニバル,-,G,False
svaw_004_023_m,SVAW,004/023,ポケモン,水,ウェーニバル,-,G,True
svaw_005_023,SVAW,005/023,ポケモン,超,デデンネ,-,G,False
svaw_006_023,SVAW,006/023,ポケモン,超,ミミッキュex,-,G,False
svaw_007_023,SVAW,007/023,ポケモン,闘,ヒラヒナ,-,G,False
svaw_008_023,SVAW,008/023,ポケモン,闘,ザングース,-,G,False
svaw_009_023,SVAW,009/023,ポケモン,闘,グルトン,-,G,False
svaw_010_023,SVAW,010/023,ポケモン,闘,モトトカゲ,-,G,False
svaw_011_023,SVAW,011/023,トレーナーズ,グッズ,エネルギー回収,-,G,False
svaw_012_023,SVAW,012/023,トレーナーズ,グッズ,エネルギー転送,-,G,False
svaw_013_023,SVAW,013/023,トレーナーズ,グッズ,クラッシュハンマー,-,G,False
svaw_014_023,SVAW,014/023,トレーナーズ,グッズ,ネストボール,-,G,False
svaw_015_023,SVAW,015/023,トレーナーズ,グッズ,ハイパーボール,-,G,False
svaw_016_023,SVAW,016/023,トレーナーズ,グッズ,ポケギア3.0,-,G,False
svaw_017_023,SVAW,017/023,トレーナーズ,グッズ,ポケモンいれかえ,-,G,False
svaw_018_023,SVAW,018/023,トレーナーズ,グッズ,ポケモンキャッチャー,-,G,False
svaw_019_023,SVAW,019/023,トレーナーズ,ポケモンのどうぐ,げんきのハチマキ,-,G,False
svaw_020_023,SVAW,020/023,トレーナーズ,サポート,ジャッジマン,-,G,False
svaw_021_023,SVAW,021/023,トレーナーズ,サポート,たんぱんこぞう,-,G,False
svaw_022_023,SVAW,022/023,トレーナーズ,サポート,ネモ,-,G,False
svaw_023_023,SVAW,023/023,トレーナーズ,サポート,博士の研究（オーリム博士）,-,G,False
svaw_WAT,SVAW,WAT,エネルギー,水,基本水エネルギー,-,-,False
svaw_PSY,SVAW,PSY,エネルギー,超,基本超エネルギー,-,-,False
